analysis_set,signal,coverage,n_retained,retained_error_rate,retained_correctness
archehr_test,combined_uncertainty,0.71,71,0.5070422535211268,0.49295774647887325
archehr_test,combined_uncertainty,0.72,72,0.5138888888888888,0.48611111111111116
archehr_test,combined_uncertainty,0.73,73,0.5068493150684932,0.4931506849315068
archehr_test,combined_uncertainty,0.74,74,0.5135135135135135,0.4864864864864865
archehr_test,combined_uncertainty,0.75,75,0.52,0.48
archehr_test,combined_uncertainty,0.76,76,0.5263157894736842,0.4736842105263158
archehr_test,combined_uncertainty,0.77,77,0.5324675324675324,0.4675324675324676
archehr_test,combined_uncertainty,0.78,78,0.5384615384615384,0.46153846153846156
archehr_test,combined_uncertainty,0.79,79,0.5443037974683544,0.45569620253164556
archehr_test,combined_uncertainty,0.8,80,0.5375,0.4625
archehr_test,combined_uncertainty,0.81,81,0.5432098765432098,0.45679012345679015
archehr_test,combined_uncertainty,0.82,82,0.5487804878048781,0.4512195121951219
archehr_test,combined_uncertainty,0.83,83,0.5542168674698795,0.4457831325301205
archehr_test,combined_uncertainty,0.84,84,0.5595238095238095,0.44047619047619047
archehr_test,combined_uncertainty,0.85,85,0.5529411764705883,0.44705882352941173
archehr_test,combined_uncertainty,0.86,86,0.5581395348837209,0.4418604651162791
archehr_test,combined_uncertainty,0.87,87,0.5632183908045977,0.4367816091954023
archehr_test,combined_uncertainty,0.88,88,0.5681818181818182,0.43181818181818177
archehr_test,combined_uncertainty,0.89,89,0.5730337078651685,0.4269662921348315
archehr_test,combined_uncertainty,0.9,90,0.5777777777777777,0.4222222222222223
archehr_test,combined_uncertainty,0.91,91,0.5824175824175825,0.41758241758241754
archehr_test,combined_uncertainty,0.92,92,0.5869565217391305,0.4130434782608695
archehr_test,combined_uncertainty,0.93,93,0.5806451612903226,0.4193548387096774
archehr_test,combined_uncertainty,0.94,94,0.5851063829787234,0.4148936170212766
archehr_test,combined_uncertainty,0.95,95,0.5894736842105263,0.41052631578947374
archehr_test,combined_uncertainty,0.96,96,0.59375,0.40625
archehr_test,combined_uncertainty,0.97,97,0.5979381443298969,0.4020618556701031
archehr_test,combined_uncertainty,0.98,98,0.5918367346938775,0.40816326530612246
archehr_test,combined_uncertainty,0.99,99,0.5858585858585859,0.41414141414141414
archehr_test,combined_uncertainty,1.0,100,0.59,0.41000000000000003
archehr_test,answer_pairwise_distance,0.01,1,0.5,0.5
archehr_test,answer_pairwise_distance,0.02,2,0.5,0.5
archehr_test,answer_pairwise_distance,0.03,3,0.6666666666666666,0.33333333333333337
archehr_test,answer_pairwise_distance,0.04,4,0.75,0.25
archehr_test,answer_pairwise_distance,0.05,5,0.8,0.19999999999999996
archehr_test,answer_pairwise_distance,0.06,6,0.6666666666666666,0.33333333333333337
archehr_test,answer_pairwise_distance,0.07,7,0.7142857142857143,0.2857142857142857
archehr_test,answer_pairwise_distance,0.08,8,0.625,0.375
archehr_test,answer_pairwise_distance,0.09,9,0.6666666666666666,0.33333333333333337
archehr_test,answer_pairwise_distance,0.1,10,0.6,0.4
archehr_test,answer_pairwise_distance,0.11,11,0.6363636363636364,0.36363636363636365
archehr_test,answer_pairwise_distance,0.12,12,0.6666666666666666,0.33333333333333337
archehr_test,answer_pairwise_distance,0.13,13,0.6153846153846154,0.3846153846153846
archehr_test,answer_pairwise_distance,0.14,14,0.6428571428571429,0.3571428571428571
archehr_test,answer_pairwise_distance,0.15,15,0.6,0.4
archehr_test,answer_pairwise_distance,0.16,16,0.5625,0.4375
archehr_test,answer_pairwise_distance,0.17,17,0.5882352941176471,0.4117647058823529
archehr_test,answer_pairwise_distance,0.18,18,0.6111111111111112,0.38888888888888884
archehr_test,answer_pairwise_distance,0.19,19,0.631578947368421,0.368421052631579
archehr_test,answer_pairwise_distance,0.2,20,0.6,0.4
archehr_test,answer_pairwise_distance,0.21,21,0.6190476190476191,0.38095238095238093
archehr_test,answer_pairwise_distance,0.22,22,0.6363636363636364,0.36363636363636365
archehr_test,answer_pairwise_distance,0.23,23,0.6086956521739131,0.3913043478260869
archehr_test,answer_pairwise_distance,0.24,24,0.5833333333333334,0.41666666666666663
archehr_test,answer_pairwise_distance,0.25,25,0.6,0.4
archehr_test,answer_pairwise_distance,0.26,26,0.6153846153846154,0.3846153846153846
archehr_test,answer_pairwise_distance,0.27,27,0.5925925925925926,0.40740740740740744
archehr_test,answer_pairwise_distance,0.28,28,0.5714285714285714,0.4285714285714286
archehr_test,answer_pairwise_distance,0.29,29,0.5862068965517241,0.4137931034482759
archehr_test,answer_pairwise_distance,0.3,30,0.5666666666666667,0.43333333333333335
archehr_test,answer_pairwise_distance,0.31,31,0.5806451612903226,0.4193548387096774
archehr_test,answer_pairwise_distance,0.32,32,0.59375,0.40625
archehr_test,answer_pairwise_distance,0.33,33,0.6060606060606061,0.3939393939393939
archehr_test,answer_pairwise_distance,0.34,34,0.5882352941176471,0.4117647058823529
archehr_test,answer_pairwise_distance,0.35,35,0.5714285714285714,0.4285714285714286
archehr_test,answer_pairwise_distance,0.36,36,0.5555555555555556,0.4444444444444444
archehr_test,answer_pairwise_distance,0.37,37,0.5405405405405406,0.45945945945945943
archehr_test,answer_pairwise_distance,0.38,38,0.5526315789473685,0.4473684210526315
archehr_test,answer_pairwise_distance,0.39,39,0.5384615384615384,0.46153846153846156
archehr_test,answer_pairwise_distance,0.4,40,0.55,0.44999999999999996
archehr_test,answer_pairwise_distance,0.41,41,0.5365853658536586,0.46341463414634143
archehr_test,answer_pairwise_distance,0.42,42,0.5476190476190477,0.45238095238095233
archehr_test,answer_pairwise_distance,0.43,43,0.5348837209302325,0.4651162790697675
archehr_test,answer_pairwise_distance,0.44,44,0.5454545454545454,0.4545454545454546
archehr_test,answer_pairwise_distance,0.45,45,0.5555555555555556,0.4444444444444444
archehr_test,answer_pairwise_distance,0.46,46,0.5434782608695652,0.4565217391304348
archehr_test,answer_pairwise_distance,0.47,47,0.5531914893617021,0.44680851063829785
archehr_test,answer_pairwise_distance,0.48,48,0.5625,0.4375
archehr_test,answer_pairwise_distance,0.49,49,0.5510204081632653,0.44897959183673475
archehr_test,answer_pairwise_distance,0.5,50,0.56,0.43999999999999995
archehr_test,answer_pairwise_distance,0.51,51,0.5490196078431373,0.4509803921568627
archehr_test,answer_pairwise_distance,0.52,52,0.5576923076923077,0.4423076923076923
archehr_test,answer_pairwise_distance,0.53,53,0.5471698113207547,0.4528301886792453
archehr_test,answer_pairwise_distance,0.54,54,0.5555555555555556,0.4444444444444444
archehr_test,answer_pairwise_distance,0.55,55,0.5454545454545454,0.4545454545454546
archehr_test,answer_pairwise_distance,0.56,56,0.5535714285714286,0.4464285714285714
